Year,week,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing, Affiliates,SEM,Radio,Other
2015,26,34200000,400000,5000000,14800000,0,2600000,1000000,10000000,0,0
2015,27,34200000,400000,5000000,14800000,0,2600000,1000000,10000000,0,0
2015,28,34200000,400000,5000000,14800000,0,2600000,1000000,10000000,0,0
2015,29,34200000,400000,5000000,14800000,0,2600000,1000000,10000000,0,0
2015,30,34200000,400000,5000000,14800000,0,2600000,1000000,10000000,0,0
2015,31,10200000,0,3250000,2750000,0,250000,250000,6250000,0,0
2015,32,10200000,0,3250000,2750000,0,250000,250000,6250000,0,0
2015,33,10200000,0,3250000,2750000,0,250000,250000,6250000,0,0
2015,34,10200000,0,3250000,2750000,0,250000,250000,6250000,0,0
2015,35,192600000,7800000,2800000,125600000,1200000,32800000,10000000,12400000,0,0
2015,36,192600000,7800000,2800000,125600000,1200000,32800000,10000000,12400000,0,0
2015,37,192600000,7800000,2800000,125600000,1200000,32800000,10000000,12400000,0,0
2015,38,192600000,7800000,2800000,125600000,1200000,32800000,10000000,12400000,0,0
2015,39,192600000,7800000,2800000,125600000,1200000,32800000,10000000,12400000,0,0
2015,40,340400000,12200000,31500000,211750000,8500000,61000000,17500000,79750000,0,0
2015,41,340400000,12200000,31500000,211750000,8500000,61000000,17500000,79750000,0,0
2015,42,340400000,12200000,31500000,211750000,8500000,61000000,17500000,79750000,0,0
2015,43,340400000,12200000,31500000,211750000,8500000,61000000,17500000,79750000,0,0
2015,44,102400000,8400000,3250000,35500000,500000,49000000,16500000,13000000,0,0
2015,45,102400000,8400000,3250000,35500000,500000,49000000,16500000,13000000,0,0
2015,46,102400000,8400000,3250000,35500000,500000,49000000,16500000,13000000,0,0
2015,47,102400000,8400000,3250000,35500000,500000,49000000,16500000,13000000,0,0
2015,48,213400000,10800000,6200000,113400000,2200000,45000000,13600000,22400000,0,0
2015,49,213400000,10800000,6200000,113400000,2200000,45000000,13600000,22400000,0,0
2015,50,213400000,10800000,6200000,113400000,2200000,45000000,13600000,22400000,0,0
2015,51,213400000,10800000,6200000,113400000,2200000,45000000,13600000,22400000,0,0
2015,52,213400000,10800000,6200000,113400000,2200000,45000000,13600000,22400000,0,0
2016,0,148400000,8800000,1250000,10500000,2250000,57250000,18500000,10500000,6750000,67750000
2016,1,148400000,8800000,1250000,10500000,2250000,57250000,18500000,10500000,6750000,67750000
2016,2,148400000,8800000,1250000,10500000,2250000,57250000,18500000,10500000,6750000,67750000
2016,3,148400000,8800000,1250000,10500000,2250000,57250000,18500000,10500000,6750000,67750000
2016,4,96200000,5200000,4750000,29250000,1500000,49750000,16250000,12250000,0,0
2016,5,96200000,5200000,4750000,29250000,1500000,49750000,16250000,12250000,0,0
2016,6,96200000,5200000,4750000,29250000,1500000,49750000,16250000,12250000,0,0
2016,7,96200000,5200000,4750000,29250000,1500000,49750000,16250000,12250000,0,0
2016,8,200000000,18600000,4200000,83200000,800000,36800000,12400000,10400000,1800000,31800000
2016,9,200000000,18600000,4200000,83200000,800000,36800000,12400000,10400000,1800000,31800000
2016,10,200000000,18600000,4200000,83200000,800000,36800000,12400000,10400000,1800000,31800000
2016,11,200000000,18600000,4200000,83200000,800000,36800000,12400000,10400000,1800000,31800000
2016,12,200000000,18600000,4200000,83200000,800000,36800000,12400000,10400000,1800000,31800000
2016,13,113600000,10400000,2250000,60750000,0,41250000,14250000,10500000,0,0
2016,14,113600000,10400000,2250000,60750000,0,41250000,14250000,10500000,0,0
2016,15,113600000,10400000,2250000,60750000,0,41250000,14250000,10500000,0,0
2016,16,113600000,10400000,2250000,60750000,0,41250000,14250000,10500000,0,0
2016,17,156200000,2800000,2000000,79250000,2000000,59250000,17000000,17250000,2750000,12500000
2016,18,156200000,2800000,2000000,79250000,2000000,59250000,17000000,17250000,2750000,12500000
2016,19,156200000,2800000,2000000,79250000,2000000,59250000,17000000,17250000,2750000,12500000
2016,20,156200000,2800000,2000000,79250000,2000000,59250000,17000000,17250000,2750000,12500000
2016,21,85600000,3400000,2800000,50000000,0,16000000,5600000,7400000,0,0
2016,22,85600000,3400000,2800000,50000000,0,16000000,5600000,7400000,0,0
2016,23,85600000,3400000,2800000,50000000,0,16000000,5600000,7400000,0,0
2016,24,85600000,3400000,2800000,50000000,0,16000000,5600000,7400000,0,0
2016,25,85600000,3400000,2800000,50000000,0,16000000,5600000,7400000,0,0